name,http_status,https_status,SIREN,type,sources,script
chateauneufdufaou.bzh,301 Moved Permanently https://www.chateauneufdufaou.bzh/,301 Moved Permanently https://www.chateauneufdufaou.bzh/,,Collectivité,ADULLACT,
www.chateauneufdufaou.bzh,200 OK,200 OK,,Collectivité,DILA open data,
clcl.bzh,301 Moved Permanently http://www.clcl.bzh/,301 Moved Permanently http://www.clcl.bzh/,,EPCI,Ajout manuel de Bastien Guerry,
www.clcl.bzh,200 OK,200 OK,,EPCI,Ajout manuel de Julien Palard,
cma22.bzh,403 Forbidden,certificate verify failed,,,ADULLACT,
www.cma22.bzh,403 Forbidden,certificate verify failed,,,ADULLACT,
cma29.bzh,403 Forbidden,certificate verify failed,,,ADULLACT,
www.cma29.bzh,certificate verify failed,certificate verify failed,,,ADULLACT,
cma35.bzh,403 Forbidden,certificate verify failed,,,ADULLACT,
www.cma35.bzh,403 Forbidden,certificate verify failed,,,ADULLACT,
cma56.bzh,403 Forbidden,certificate verify failed,,,ADULLACT,
www.cma56.bzh,403 Forbidden,certificate verify failed,,,ADULLACT,
collegekerdurand.bzh,Name or service not known,Name or service not known,,,Redirection depuis www.college-kerdurand-riantec.ac-rennes.fr,
www.combourg.bzh,200 OK,200 OK,,,ADULLACT,
combrit-saintemarine.bzh,200 OK,200 OK,,Collectivité,Wikidata,
comcom-crozon.bzh,302 Moved Temporarily http://www.comcom-crozon.com/wp-signup.php?new=comcom-crozon.bzh,302 Moved Temporarily https://www.comcom-crozon.com/wp-signup.php?new=comcom-crozon.bzh,,EPCI,Ajout manuel de Bastien Guerry,
www.comcom-crozon.bzh,301 Moved Permanently https://www.comcom-crozon.com/,301 Moved Permanently https://www.comcom-crozon.com/,,EPCI,Ajout manuel de Julien Palard,
cournon.bzh,302 Found https://www.cournon.bzh/,200 OK,,Commune,ADULLACT,
www.cournon.bzh,200 OK,200 OK,,Commune,DILA open data,
credin.bzh,200 OK,200 OK,,,Redirection depuis www.credin.fr,
crij.bzh,200 OK,200 OK,,,ADULLACT,
daoulas.bzh,200 OK,200 OK,,Collectivité,Wikidata,
www.daoulas.bzh,200 OK,200 OK,,Collectivité,ADULLACT,
elliant.bzh,301 Moved Permanently https://www.elliant.bzh/,301 Moved Permanently https://www.elliant.bzh/,,Commune,ADULLACT,
www.elliant.bzh,200 OK,200 OK,,Commune,DILA open data,
elven.bzh,301 Moved Permanently https://www.elven.bzh/,301 Moved Permanently https://www.elven.bzh/,,Collectivité,ADULLACT,
www.elven.bzh,200 OK,200 OK,,Collectivité,Wikidata,
ergue-gaberic.bzh,301 Moved Permanently https://www.ergue-gaberic.bzh/,301 Moved Permanently https://www.ergue-gaberic.bzh/,,Commune,ADULLACT,
www.ergue-gaberic.bzh,200 OK,200 OK,,Commune,Wikidata,
evellys.bzh,301 Moved Permanently https://www.evellys.bzh/,301 Moved Permanently https://www.evellys.bzh/,,Collectivité,ADULLACT,
www.evellys.bzh,200 OK,200 OK,,Collectivité,Wikidata,
evran.bzh,301 Moved Permanently https://www.evran.bzh/,301 Moved Permanently https://www.evran.bzh/,,Commune,ADULLACT,
www.evran.bzh,200 OK,200 OK,,Commune,DILA open data,
fougeres-agglo.bzh,200 OK,200 OK,,EPCI,ADULLACT,
www.fougeres-agglo.bzh,301 Moved Permanently https://fougeres-agglo.bzh/,301 Moved Permanently https://fougeres-agglo.bzh/,,EPCI,Banatic,import-base-nationale-sur-les-intercommunalites.py
glazik.bzh,301 Moved Permanently https://www.glazik.bzh/,301 Moved Permanently https://www.glazik.bzh/,,Collectivité,ADULLACT,
www.glazik.bzh,301 Moved Permanently https://glazik.bzh/,200 OK,,Collectivité,Wikidata,
golfedumorbihan-vannesagglomeration.bzh,301 Moved Permanently https://www.golfedumorbihan-vannesagglomeration.bzh/,301 Moved Permanently https://www.golfedumorbihan-vannesagglomeration.bzh/,,EPCI,ADULLACT,
www.golfedumorbihan-vannesagglomeration.bzh,200 OK,200 OK,,EPCI,ADULLACT,
gouesnou.bzh,301 Moved Permanently https://www.gouesnou.bzh/,301 Moved Permanently https://www.gouesnou.bzh/,,Collectivité,ADULLACT,
www.gouesnou.bzh,200 OK,200 OK,,Collectivité,Wikidata,
gourlizon.bzh,301 Moved Permanently http://www.gourlizon.bzh,Connection failed,,Collectivité,ADULLACT,
www.gourlizon.bzh,200 OK,200 OK,,Collectivité,Wikidata,
guiler-sur-goyen.bzh,301 Moved Permanently https://guiler-sur-goyen.bzh:443/,200 OK,,Collectivité,Wikidata,
guingamp-paimpol-agglo.bzh,301 Moved Permanently https://www.guingamp-paimpol-agglo.bzh/,301 Moved Permanently https://www.guingamp-paimpol-agglo.bzh/,,EPCI,Ajout manuel de Matthieu FAURE,
www.guingamp-paimpol-agglo.bzh,200 OK,200 OK,,EPCI,Ajout manuel de Matthieu FAURE,
guipavas.bzh,200 OK,200 OK,,Commune,Wikidata,
www.guipavas.bzh,302 Found //guipavas.bzh,302 Found //guipavas.bzh,,Commune,ADULLACT,
hautleoncommunaute.bzh,301 Moved Permanently https://www.hautleoncommunaute.bzh/,301 Moved Permanently https://www.hautleoncommunaute.bzh/,,EPCI,ADULLACT,
www.hautleoncommunaute.bzh,200 OK,200 OK,,EPCI,ADULLACT,
hennebont.bzh,301 Moved Permanently https://www.hennebont.bzh/,301 Moved Permanently https://www.hennebont.bzh/,,Commune,ADULLACT,
www.hennebont.bzh,200 OK,200 OK,,Commune,Wikidata,
hlc.bzh,302 Moved Temporarily http://www.hlc.bzh,Connection failed,,Collectivité,Ajout manuel de Bastien Guerry,
www.hlc.bzh,200 OK,Connection failed,,Collectivité,Ajout manuel de Julien Palard,
kerlaz.bzh,301 Moved Permanently https://www.kerlaz.bzh/,301 Moved Permanently https://www.kerlaz.bzh/,,Collectivité,Wikidata,
kerpert.bzh,301 Moved Permanently https://www.kerpert.bzh/,301 Moved Permanently https://www.kerpert.bzh/,,Collectivité,ADULLACT,
www.kerpert.bzh,200 OK,200 OK,,Collectivité,Wikidata,
www.kervignac.bzh,200 OK,200 OK,,,ADULLACT,
la-trinite-porhoet.bzh,200 OK,200 OK,,Commune,ADULLACT,
www.la-trinite-porhoet.bzh,200 OK,200 OK,,Commune,Wikidata,
lachapelledesfougeretz.bzh,301 Moved Permanently https://www.lachapelledesfougeretz.bzh/,certificate verify failed,,Commune,ADULLACT,
www.lachapelledesfougeretz.bzh,200 OK,200 OK,,Commune,Wikidata,
laforest.bzh,200 OK,200 OK,,Collectivité,Wikidata,
lamballe-armor.bzh,No address associated with hostname,No address associated with hostname,,Commune,ADULLACT,
www.lamballe-armor.bzh,200 OK,200 OK,,Commune,Wikidata,
lamballe-terre-mer.bzh,301 Moved Permanently https://www.lamballe-terre-mer.bzh/,301 Moved Permanently https://www.lamballe-terre-mer.bzh/,,EPCI,ADULLACT,
www.lamballe-terre-mer.bzh,200 OK,200 OK,,EPCI,DILA open data,
lampaul-ploudalmezeau.bzh,200 OK,200 OK,,Collectivité,Wikidata,
landerneau.bzh,301 Moved Permanently https://www.landerneau.bzh/,301 Moved Permanently https://www.landerneau.bzh/,,Commune,Ajout manuel de Julien Palard,
www.landerneau.bzh,200 OK,200 OK,,Commune,Ajout manuel de Julien Palard,
lanester.bzh,301 Moved Permanently http://www.lanester.bzh/,301 Moved Permanently http://www.lanester.bzh/,,Commune,ADULLACT,
www.lanester.bzh,200 OK,200 OK,,Commune,Wikidata,
langoat.bzh,301 Moved Permanently https://www.langoat.bzh/,301 Moved Permanently https://www.langoat.bzh/,,Collectivité,ADULLACT,
www.langoat.bzh,200 OK,200 OK,,Collectivité,Wikidata,
langolen.bzh,200 OK,200 OK,,Commune,DILA open data,
www.langolen.bzh,301 Moved Permanently https://langolen.bzh/,301 Moved Permanently https://langolen.bzh/,,Commune,Ajout manuel de Matthieu FAURE,
langon35.bzh,302 Found http://sites-communs.redon-agglomeration.bzh/,302 Found https://sites-communs.redon-agglomeration.bzh/,,Collectivité,ADULLACT,
www.langon35.bzh,200 OK,200 OK,,Collectivité,Wikidata,
langonnet.bzh,301 Moved Permanently http://www.langonnet.bzh/,Connection reset by peer,,Commune,ADULLACT,
www.langonnet.bzh,301 Moved Permanently https://www.langonnet.bzh:443/,200 OK,,Commune,Wikidata,
lanloup.bzh,301 Moved Permanently http://www.lanloup.bzh/,certificate verify failed,,Commune,ADULLACT,
www.lanloup.bzh,200 OK,certificate verify failed,,Commune,Wikidata,
lanmodez.bzh,200 OK,certificate verify failed,,Commune,ADULLACT,
www.lanmodez.bzh,200 OK,certificate verify failed,,Commune,Wikidata,
lannedern.bzh,301 Moved Permanently http://www.lannedern.bzh/,301 Moved Permanently https://www.lannedern.bzh/,,Collectivité,ADULLACT,
www.lannedern.bzh,200 OK,200 OK,,Collectivité,Wikidata,
lannilis.bzh,200 OK,200 OK,,Collectivité,Wikidata,
www.lannilis.bzh,301 Moved Permanently https://lannilis.bzh/,301 Moved Permanently https://lannilis.bzh/,,Collectivité,ADULLACT,
lannion.bzh,301 Moved Permanently https://www.lannion.bzh/,301 Moved Permanently https://www.lannion.bzh/,,Collectivité,ADULLACT,
www.lannion.bzh,200 OK,200 OK,,Collectivité,Wikidata,
larmor-plage.bzh,301 Moved Permanently https://www.larmor-plage.bzh/,301 Moved Permanently https://www.larmor-plage.bzh/,,Collectivité,ADULLACT,
www.larmor-plage.bzh,200 OK,200 OK,,Collectivité,Wikidata,
larochejaudy.bzh,200 OK,200 OK,,Commune,Wikidata,
www.larochejaudy.bzh,301 Moved Permanently https://larochejaudy.bzh/,301 Moved Permanently https://larochejaudy.bzh/,,Commune,ADULLACT,
lavraiecroix.bzh,No address associated with hostname,No address associated with hostname,,Commune,ADULLACT,
www.lavraiecroix.bzh,200 OK,200 OK,,Commune,Wikidata,
le-cloitre-saint-thegonnec.bzh,301 Moved Permanently https://www.le-cloitre-saint-thegonnec.bzh/,301 Moved Permanently https://www.le-cloitre-saint-thegonnec.bzh/,,Commune,ADULLACT,
www.le-cloitre-saint-thegonnec.bzh,200 OK,200 OK,,Commune,Wikidata,
leconquet.bzh,301 Moved Permanently https://www.leconquet.bzh/,301 Moved Permanently https://www.leconquet.bzh/,,Collectivité,ADULLACT,
www.leconquet.bzh,200 OK,200 OK,,Collectivité,Wikidata,
lecrouais.bzh,301 Moved Permanently https://www.lecrouais.bzh/,301 Moved Permanently https://www.lecrouais.bzh/,,Commune,ADULLACT,
www.lecrouais.bzh,200 OK,200 OK,,Commune,DILA open data,
lefaou.bzh,301 Moved Permanently https://www.lefaou.bzh/,301 Moved Permanently https://www.lefaou.bzh/,,Collectivité,ADULLACT,
www.lefaou.bzh,200 OK,200 OK,,Collectivité,Wikidata,
leseldebretagne.bzh,301 Moved Permanently https://www.leseldebretagne.bzh/,301 Moved Permanently https://www.leseldebretagne.bzh/,,Collectivité,ADULLACT,
www.leseldebretagne.bzh,302 Moved Temporarily https://www.leseldebretagne.bzh:443/,200 OK,,Collectivité,Wikidata,
lesmontsdarree.bzh,Timeout,Timeout,,EPCI,ADULLACT,
www.lesmontsdarree.bzh,404 Not Found,certificate verify failed,,,Redirection depuis lesmontsdarree.bzh,
lesneven.bzh,301 Moved Permanently https://www.lesneven.bzh/,301 Moved Permanently https://www.lesneven.bzh/,,Collectivité,ADULLACT,
www.lesneven.bzh,301 Moved Permanently https://lesneven.bzh/,301 Moved Permanently https://lesneven.bzh/,,Collectivité,Wikidata,
letrehou.bzh,200 OK,200 OK,,Collectivité,DILA open data,
www.letrehou.bzh,301 Moved Permanently https://letrehou.bzh/,certificate verify failed,,Collectivité,ADULLACT,
letrevoux.bzh,200 OK,200 OK,,Commune,DILA open data,
www.letrevoux.bzh,301 Moved Permanently https://letrevoux.bzh/,301 Moved Permanently https://letrevoux.bzh/,,Commune,ADULLACT,
locmine.bzh,301 Moved Permanently https://www.locmine.bzh/,301 Moved Permanently https://www.locmine.bzh/,,Collectivité,ADULLACT,
www.locmine.bzh,200 OK,200 OK,,Collectivité,Wikidata,
locronan.bzh,301 Moved Permanently https://www.locronan.bzh/,301 Moved Permanently https://www.locronan.bzh/,,Collectivité,Wikidata,
logonna-daoulas.bzh,301 Moved Permanently https://www.logonna-daoulas.bzh/,301 Moved Permanently https://www.logonna-daoulas.bzh/,,Collectivité,ADULLACT,
www.logonna-daoulas.bzh,Timeout,200 OK,,Collectivité,Wikidata,
loperhet.bzh,301 Moved Permanently https://www.google.fr,301 Moved Permanently https://www.google.fr,,Collectivité,ADULLACT,
www.loperhet.bzh,301 Moved Permanently https://www.google.fr,200 OK,,Collectivité,DILA open data,
lorient.bzh,Timeout,Timeout,,Commune,ADULLACT,
www.lorient.bzh,Timeout,Timeout,,Commune,Wikidata,
lorient-agglo.bzh,301 Moved Permanently https://www.lorient-agglo.bzh/,301 Moved Permanently https://www.lorient-agglo.bzh/,,EPCI,ADULLACT,
www.lorient-agglo.bzh,Timeout,Timeout,,EPCI,Banatic,import-base-nationale-sur-les-intercommunalites.py
loudeac-communaute.bzh,200 OK,200 OK,,EPCI,ADULLACT,
www.loudeac-communaute.bzh,503 Service Unavailable,Cannot connect,,EPCI,ADULLACT,
lycee-maritime-guilvinec.bzh,200 OK,200 OK,,Établissement scolaire,Ajout manuel de Michaël Bideault (Villes Internet),
mairie-de-becherel.bzh,200 OK,200 OK,,Commune,DILA open data,
mairie-gael.bzh,301 Moved Permanently https://www.mairie-gael.bzh/,301 Moved Permanently https://www.mairie-gael.bzh/,,Commune,ADULLACT,
www.mairie-gael.bzh,200 OK,200 OK,,Commune,DILA open data,
mairie-gouesnach.bzh,200 OK,200 OK,,Commune,DILA open data,
www.mairie-gouesnach.bzh,301 Moved Permanently https://mairie-gouesnach.bzh/,301 Moved Permanently https://mairie-gouesnach.bzh/,,Commune,Ajout manuel de Matthieu FAURE,
mairie-lannedern.bzh,Name or service not known,Name or service not known,,,ADULLACT,
www.mairie-lannedern.bzh,Name or service not known,Name or service not known,,,ADULLACT,
mairie-plouye.bzh,301 Moved Permanently https://www.mairie-plouye.bzh/,301 Moved Permanently https://www.mairie-plouye.bzh/,,Commune,ADULLACT,
www.mairie-plouye.bzh,200 OK,200 OK,,Commune,Wikidata,
mairie-saint-rivoal.bzh,200 OK,200 OK,,Commune,Wikidata,
mairieguerledan.bzh,301 Moved Permanently https://www.mairieguerledan.bzh/,301 Moved Permanently https://www.mairieguerledan.bzh/,,Commune,Ajout manuel de Matthieu FAURE,
www.mairieguerledan.bzh,403 Forbidden,403 Forbidden,,Commune,Ajout manuel de Matthieu FAURE,
mellac.bzh,200 OK,200 OK,,Collectivité,Wikidata,
www.mellac.bzh,301 Moved Permanently https://mellac.bzh/,301 Moved Permanently https://mellac.bzh/,,Collectivité,Wikidata,
melle.bzh,301 Moved Permanently https://melle.bzh:443/,200 OK,,Commune,ADULLACT,
www.melle.bzh,301 Moved Permanently https://www.melle.bzh:443/,301 Moved Permanently https://melle.bzh/,,Commune,Wikidata,
mesnilroch.bzh,200 OK,200 OK,,Commune,Wikidata,
www.mesnilroch.bzh,Name or service not known,Name or service not known,,Commune,ADULLACT,
